"106年08月01日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","8110  ","華東            ","246,000","84,000","162,000",
" ","1717  ","長興            ","180,000","19,000","161,000",
" ",="03418P","綠悅永豐6B售01  ","160,000","0","160,000",
" ","2101  ","南港            ","175,000","15,000","160,000",
" ","6191  ","精成科          ","270,000","110,000","160,000",
" ",="006206","元大上證50      ","299,000","143,000","156,000",
" ","2034  ","允強            ","216,000","62,000","154,000",
" ","1902  ","台紙            ","222,000","72,000","150,000",
" ","2535  ","達欣工          ","231,000","84,000","147,000",
" ","910801","金衛-DR         ","145,000","0","145,000",
" ","8039  ","台虹            ","420,000","278,000","142,000",
" ","3036  ","文曄            ","451,000","310,000","141,000",
" ","8249  ","菱光            ","141,000","0","141,000",
" ","9904  ","寶成            ","1,327,000","1,186,000","141,000",
" ","9938  ","百和            ","215,000","75,000","140,000",
" ","2838  ","聯邦銀          ","216,000","77,000","139,000",
" ","1582  ","信錦            ","188,000","55,000","133,000",
" ","2607  ","榮運            ","148,000","15,000","133,000",
" ","2836  ","高雄銀          ","146,000","13,000","133,000",
" ","9907  ","統一實          ","136,000","5,000","131,000",
" ",="00655L","國泰中國A50正2  ","129,000","0","129,000",
" ","3050  ","鈺德            ","137,000","11,000","126,000",
" ","8046  ","南電            ","157,000","31,000","126,000",
" ","3029  ","零壹            ","126,000","1,000","125,000",
" ","2385  ","群光            ","335,000","212,000","123,000",
" ","2338  ","光罩            ","126,000","4,000","122,000",
" ","2439  ","美律            ","1,543,000","1,423,939","119,061",
" ","2484  ","希華            ","119,000","0","119,000",
" ","6257  ","矽格            ","215,000","97,000","118,000",
" ","1304  ","台聚            ","131,000","14,000","117,000",
" ","8464  ","億豐            ","259,000","142,464","116,536",
" ","2331  ","精英            ","250,000","134,000","116,000",
" ","3209  ","全科            ","115,000","0","115,000",
" ","1704  ","榮化            ","176,000","63,000","113,000",
" ",="00648R","元大S&P500反1   ","111,000","0","111,000",
" ","2312  ","金寶            ","225,000","114,000","111,000",
" ","9911  ","櫻花            ","154,000","44,000","110,000",
" ","2365  ","昆盈            ","112,000","4,000","108,000",
" ","1905  ","華紙            ","112,000","7,000","105,000",
" ","2458  ","義隆            ","913,000","809,000","104,000",
" ","3060  ","銘異            ","147,000","45,000","102,000",
" ",="061508","可成凱基6C購02  ","100,000","0","100,000",
" ","2451  ","創見            ","334,115","235,000","99,115",
" ","1532  ","勤美            ","100,000","2,000","98,000",
" ","2107  ","厚生            ","97,000","2,000","95,000",
" ","2605  ","新興            ","150,000","58,000","92,000",
" ","6235  ","華孚            ","99,000","7,000","92,000",
" ","5521  ","工信            ","100,000","9,000","91,000",
" ","6142  ","友勁            ","106,000","16,000","90,000",
" ","2903  ","遠百            ","133,000","44,000","89,000",
" ","3062  ","建漢            ","160,000","71,000","89,000",
" ","2038  ","海光            ","103,000","15,000","88,000",
" ","2329  ","華泰            ","106,000","18,000","88,000",
" ","3042  ","晶技            ","215,000","127,000","88,000",
" ","8213  ","志超            ","142,000","54,000","88,000",
" ","6202  ","盛群            ","123,000","40,000","83,000",
" ","2363  ","矽統            ","201,000","120,000","81,000",
" ","3561  ","昇陽光電        ","176,000","96,000","80,000",
" ","2534  ","宏盛            ","102,000","23,000","79,000",
" ","8150  ","南茂            ","318,569","241,000","77,569",
" ","2017  ","官田鋼          ","98,000","21,000","77,000",
