"106年07月19日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="03072P","超眾元富6B售02  ","0","0","0","796,000","7,000","789,000","796,000","7,000","789,000",
="061630","康控永豐6C購02  ","0","0","0","779,000","0","779,000","779,000","0","779,000",
="062553","全新永豐71購01  ","0","0","0","869,000","90,000","779,000","869,000","90,000","779,000",
="062611","智易元富74購01  ","0","0","0","776,000","0","776,000","776,000","0","776,000",
="063244","滬深2X元大71購03","0","0","0","1,240,000","472,000","768,000","1,240,000","472,000","768,000",
="062232","上証2X元大6C購05","0","0","0","1,071,000","304,000","767,000","1,071,000","304,000","767,000",
="056377","康友統一6A購01  ","0","0","0","812,000","46,000","766,000","812,000","46,000","766,000",
="060018","群創永昌6B購01  ","0","0","0","946,000","182,000","764,000","946,000","182,000","764,000",
="056912","聯發科元大69購02","0","0","0","1,636,000","874,000","762,000","1,636,000","874,000","762,000",
="060690","樺漢統一71購01  ","0","0","0","1,062,000","304,000","758,000","1,062,000","304,000","758,000",
="063025","聯鈞國票72購01  ","0","0","0","998,000","241,000","757,000","998,000","241,000","757,000",
="057303","聯鈞元大69購02  ","0","0","0","837,000","81,000","756,000","837,000","81,000","756,000",
="08601P","台塑凱基69售02  ","0","0","0","755,000","0","755,000","755,000","0","755,000",
="055404","元黃金統一69購01","0","0","0","778,000","24,000","754,000","778,000","24,000","754,000",
="057679","瑞昱國泰69購01  ","0","0","0","914,000","160,000","754,000","914,000","160,000","754,000",
="061772","景碩富邦6C購01  ","0","0","0","980,000","228,000","752,000","980,000","228,000","752,000",
="056938","TPK元大69購02   ","0","0","0","1,681,000","930,000","751,000","1,681,000","930,000","751,000",
="059207","聯鈞元富6A購01  ","0","0","0","957,000","206,000","751,000","957,000","206,000","751,000",
="058049","聯發科群益69購02","0","0","0","974,000","224,000","750,000","974,000","224,000","750,000",
="059436","群創國泰6B購03  ","0","0","0","1,000,000","251,000","749,000","1,000,000","251,000","749,000",
="04137P","鴻海元富72售03  ","0","0","0","1,135,000","400,000","735,000","1,135,000","400,000","735,000",
="061967","樺漢永豐6C購01  ","0","0","0","861,000","126,000","735,000","861,000","126,000","735,000",
="062620","盛餘永豐72購01  ","0","0","0","1,271,000","536,000","735,000","1,271,000","536,000","735,000",
="061567","聯發科永昌6C購02","0","0","0","1,242,000","509,000","733,000","1,242,000","509,000","733,000",
="062640","鴻海兆豐74購01  ","0","0","0","1,222,000","490,000","732,000","1,222,000","490,000","732,000",
="058929","景碩國票6B購01  ","0","0","0","734,000","5,000","729,000","734,000","5,000","729,000",
"1802  ","台玻            ","23,000","40,000","-17,000","761,000","16,000","745,000","784,000","56,000","728,000",
="060279","瑞智凱基6B購01  ","0","0","0","985,000","261,000","724,000","985,000","261,000","724,000",
="059173","群創元大6A購02  ","0","0","0","2,379,000","1,657,000","722,000","2,379,000","1,657,000","722,000",
="057417","貿聯元富69購01  ","0","0","0","1,150,000","430,000","720,000","1,150,000","430,000","720,000",
="059434","智易國泰6A購01  ","0","0","0","792,000","76,000","716,000","792,000","76,000","716,000",
="060903","FB上証群益71購01","0","0","0","767,000","51,000","716,000","767,000","51,000","716,000",
="060301","台積電國泰6B購01","0","0","0","974,000","259,000","715,000","974,000","259,000","715,000",
="059383","上銀國泰6A購02  ","0","0","0","1,006,000","292,000","714,000","1,006,000","292,000","714,000",
="062267","康友富邦6C購01  ","0","0","0","724,000","10,000","714,000","724,000","10,000","714,000",
="062763","凌巨永豐71購01  ","0","0","0","898,000","184,000","714,000","898,000","184,000","714,000",
="04256P","儒鴻國泰71售02  ","0","0","0","713,000","0","713,000","713,000","0","713,000",
="061688","鎧勝群益6C購01  ","0","0","0","1,226,000","514,000","712,000","1,226,000","514,000","712,000",
="061963","鴻海永豐6C購01  ","0","0","0","732,000","20,000","712,000","732,000","20,000","712,000",
="062871","上銀元大72購01  ","0","0","0","1,839,000","1,128,000","711,000","1,839,000","1,128,000","711,000",
="058183","台積電統一73購01","0","0","0","709,000","0","709,000","709,000","0","709,000",
